prompt,regime,layer,head,T,budget,read_ratio,method,rel_l2,cosine,extra_floats
longdoc_qa,longdoc,0,8,3068,8,0.002607561929595828,lowrank_k8,1.4264628068106464,-0.2909010256586907,512
longdoc_qa,longdoc,0,8,3068,16,0.005215123859191656,sparse_renorm,0.294442157128744,0.9710313677965474,0
longdoc_qa,longdoc,0,8,3068,16,0.005215123859191656,cheap_block_residual,0.2694647140172643,0.9718359638144285,12160
longdoc_qa,longdoc,0,8,3068,16,0.005215123859191656,oracle_mass_global,1.1698592507681098,0.03786069677709777,64
longdoc_qa,longdoc,0,8,3068,16,0.005215123859191656,oracle_mass_block,1.1731769587058265,0.034640949461893195,6080
longdoc_qa,longdoc,0,8,3068,16,0.005215123859191656,lowrank_k8,1.2023882228517813,-0.04863853236657371,512
longdoc_qa,longdoc,0,8,3068,32,0.010430247718383311,sparse_renorm,0.29444215712876776,0.9710313677965472,0
longdoc_qa,longdoc,0,8,3068,32,0.010430247718383311,cheap_block_residual,0.27841528406526,0.9715690649150678,12160
longdoc_qa,longdoc,0,8,3068,32,0.010430247718383311,oracle_mass_global,0.846671476693666,0.5328220366568337,64
longdoc_qa,longdoc,0,8,3068,32,0.010430247718383311,oracle_mass_block,0.8503715712082667,0.5272916833761192,6080
longdoc_qa,longdoc,0,8,3068,32,0.010430247718383311,lowrank_k8,0.8740754463830838,0.48721012650698975,512
longdoc_qa,longdoc,0,8,3068,64,0.020860495436766623,sparse_renorm,0.29444215712878025,0.9710313677965474,0
longdoc_qa,longdoc,0,8,3068,64,0.020860495436766623,cheap_block_residual,0.283569232841431,0.9714032395636073,12160
longdoc_qa,longdoc,0,8,3068,64,0.020860495436766623,oracle_mass_global,0.44972369407890955,0.9158198143557427,64
longdoc_qa,longdoc,0,8,3068,64,0.020860495436766623,oracle_mass_block,0.45166108653765463,0.914518212497928,6080
longdoc_qa,longdoc,0,8,3068,64,0.020860495436766623,lowrank_k8,0.4668898749997487,0.9128168691413641,512
longdoc_qa,longdoc,0,9,3068,8,0.002607561929595828,sparse_renorm,0.35005290537891837,0.9815183850789353,0
longdoc_qa,longdoc,0,9,3068,8,0.002607561929595828,cheap_block_residual,0.08676964089232281,0.9971571074566332,12160
longdoc_qa,longdoc,0,9,3068,8,0.002607561929595828,oracle_mass_global,0.13650636198470628,0.9914118669769943,64
longdoc_qa,longdoc,0,9,3068,8,0.002607561929595828,oracle_mass_block,0.07975343910177934,0.997455745701793,6080
longdoc_qa,longdoc,0,9,3068,8,0.002607561929595828,lowrank_k8,0.14368194985172827,0.9904212985389308,512
longdoc_qa,longdoc,0,9,3068,16,0.005215123859191656,sparse_renorm,0.1634530167413055,0.9939999070053912,0
longdoc_qa,longdoc,0,9,3068,16,0.005215123859191656,cheap_block_residual,0.04630937473100566,0.9989325162143439,12160
longdoc_qa,longdoc,0,9,3068,16,0.005215123859191656,oracle_mass_global,0.0395889414546282,0.9992698656543606,64
longdoc_qa,longdoc,0,9,3068,16,0.005215123859191656,oracle_mass_block,0.02878839043312809,0.9996355092344281,6080
longdoc_qa,longdoc,0,9,3068,16,0.005215123859191656,lowrank_k8,0.04433321761041992,0.9990680715699081,512
longdoc_qa,longdoc,0,9,3068,32,0.010430247718383311,sparse_renorm,0.08622039468242589,0.9975419719956973,0
longdoc_qa,longdoc,0,9,3068,32,0.010430247718383311,cheap_block_residual,0.03891557525975407,0.9994867927735297,12160
longdoc_qa,longdoc,0,9,3068,32,0.010430247718383311,oracle_mass_global,0.017539058028976543,0.9998467428549453,64
longdoc_qa,longdoc,0,9,3068,32,0.010430247718383311,oracle_mass_block,0.01845384630328863,0.9998303725701069,6080
longdoc_qa,longdoc,0,9,3068,32,0.010430247718383311,lowrank_k8,0.0190133497370404,0.9998200774052314,512
longdoc_qa,longdoc,0,9,3068,64,0.020860495436766623,sparse_renorm,0.03198764008324287,0.9997069716856206,0
longdoc_qa,longdoc,0,9,3068,64,0.020860495436766623,cheap_block_residual,0.010602997465923518,0.999953251268852,12160
longdoc_qa,longdoc,0,9,3068,64,0.020860495436766623,oracle_mass_global,0.007862729800236322,0.9999706706448036,64
longdoc_qa,longdoc,0,9,3068,64,0.020860495436766623,oracle_mass_block,0.00736608097986468,0.9999739774217057,6080
longdoc_qa,longdoc,0,9,3068,64,0.020860495436766623,lowrank_k8,0.008903126280374473,0.9999617251868128,512
longdoc_qa,longdoc,0,10,3068,8,0.002607561929595828,sparse_renorm,1.3624660620971045,0.38969674446762764,0
longdoc_qa,longdoc,0,10,3068,8,0.002607561929595828,cheap_block_residual,0.6030017144810855,0.798525708687874,12160
longdoc_qa,longdoc,0,10,3068,8,0.002607561929595828,oracle_mass_global,0.46013157707889474,0.9101299075966404,64
longdoc_qa,longdoc,0,10,3068,8,0.002607561929595828,oracle_mass_block,0.4610707407933983,0.9099243091627495,6080
longdoc_qa,longdoc,0,10,3068,8,0.002607561929595828,lowrank_k8,0.4626847418669003,0.9084588645593479,512
longdoc_qa,longdoc,0,10,3068,16,0.005215123859191656,sparse_renorm,1.1943665363557248,0.4823010790299078,0
longdoc_qa,longdoc,0,10,3068,16,0.005215123859191656,cheap_block_residual,0.5532220632037346,0.8356973594434883,12160
longdoc_qa,longdoc,0,10,3068,16,0.005215123859191656,oracle_mass_global,0.43758875296100025,0.9221174102402802,64
longdoc_qa,longdoc,0,10,3068,16,0.005215123859191656,oracle_mass_block,0.4384996156525013,0.922116291223073,6080
longdoc_qa,longdoc,0,10,3068,16,0.005215123859191656,lowrank_k8,0.4415110315308967,0.9198735689542056,512
longdoc_qa,longdoc,0,10,3068,32,0.010430247718383311,sparse_renorm,1.0018542429025297,0.6053942285835445,0
longdoc_qa,longdoc,0,10,3068,32,0.010430247718383311,cheap_block_residual,0.4864445721452875,0.87793261791169,12160
longdoc_qa,longdoc,0,10,3068,32,0.010430247718383311,oracle_mass_global,0.40077493898446037,0.93866560170302,64
longdoc_qa,longdoc,0,10,3068,32,0.010430247718383311,oracle_mass_block,0.40104013178310194,0.9389364088504571,6080
longdoc_qa,longdoc,0,10,3068,32,0.010430247718383311,lowrank_k8,0.40709370456012406,0.9357633909560962,512
longdoc_qa,longdoc,0,10,3068,64,0.020860495436766623,sparse_renorm,0.7915741373837872,0.7374514847056793,0
longdoc_qa,longdoc,0,10,3068,64,0.020860495436766623,cheap_block_residual,0.4040699808010574,0.9193382679177645,12160
longdoc_qa,longdoc,0,10,3068,64,0.020860495436766623,oracle_mass_global,0.349732862960119,0.9567679731527379,64
longdoc_qa,longdoc,0,10,3068,64,0.020860495436766623,oracle_mass_block,0.3487803130842561,0.9575972751343442,6080
longdoc_qa,longdoc,0,10,3068,64,0.020860495436766623,lowrank_k8,0.3593787774711921,0.9536466194494917,512
longdoc_qa,longdoc,0,11,3068,8,0.002607561929595828,sparse_renorm,0.10010871765020324,0.9988255837126533,0
longdoc_qa,longdoc,0,11,3068,8,0.002607561929595828,cheap_block_residual,0.07584144531885771,0.9991972100424581,12160
longdoc_qa,longdoc,0,11,3068,8,0.002607561929595828,oracle_mass_global,0.019335355097599476,0.999817561637531,64
longdoc_qa,longdoc,0,11,3068,8,0.002607561929595828,oracle_mass_block,0.01747091591709236,0.99985317807509,6080
longdoc_qa,longdoc,0,11,3068,8,0.002607561929595828,lowrank_k8,0.02126374698955474,0.9997807970737982,512
longdoc_qa,longdoc,0,11,3068,16,0.005215123859191656,sparse_renorm,0.0708422603570321,0.9994276142892554,0
longdoc_qa,longdoc,0,11,3068,16,0.005215123859191656,cheap_block_residual,0.05044341388631341,0.99964535038631,12160
longdoc_qa,longdoc,0,11,3068,16,0.005215123859191656,oracle_mass_global,0.015917857850559193,0.9998770289803571,64
longdoc_qa,longdoc,0,11,3068,16,0.005215123859191656,oracle_mass_block,0.014981708371546984,0.9998916203754559,6080
longdoc_qa,longdoc,0,11,3068,16,0.005215123859191656,lowrank_k8,0.017103499208795305,0.9998589438424897,512
longdoc_qa,longdoc,0,11,3068,32,0.010430247718383311,sparse_renorm,0.04502684776625045,0.9997951759940092,0
longdoc_qa,longdoc,0,11,3068,32,0.010430247718383311,cheap_block_residual,0.028645497789965373,0.9999003544196169,12160
longdoc_qa,longdoc,0,11,3068,32,0.010430247718383311,oracle_mass_global,0.010436437220464535,0.999950802075501,64
longdoc_qa,longdoc,0,11,3068,32,0.010430247718383311,oracle_mass_block,0.009960399889790382,0.9999556580431193,6080
longdoc_qa,longdoc,0,11,3068,32,0.010430247718383311,lowrank_k8,0.011309370480944438,0.9999423967868487,512
longdoc_qa,longdoc,0,11,3068,64,0.020860495436766623,sparse_renorm,0.0255532908035261,0.9999033053363315,0
longdoc_qa,longdoc,0,11,3068,64,0.020860495436766623,cheap_block_residual,0.011907721521800542,0.9999659301667213,12160
longdoc_qa,longdoc,0,11,3068,64,0.020860495436766623,oracle_mass_global,0.002841655815177382,0.9999961779117876,64
longdoc_qa,longdoc,0,11,3068,64,0.020860495436766623,oracle_mass_block,0.0024694212772508827,0.9999971296941007,6080
longdoc_qa,longdoc,0,11,3068,64,0.020860495436766623,lowrank_k8,0.003614583066221229,0.9999938432902756,512
longdoc_qa,longdoc,0,12,3068,8,0.002607561929595828,sparse_renorm,0.6481149675846771,0.806523216749221,0
longdoc_qa,longdoc,0,12,3068,8,0.002607561929595828,cheap_block_residual,0.45306284602714836,0.9201431589937973,12160
longdoc_qa,longdoc,0,12,3068,8,0.002607561929595828,oracle_mass_global,0.4633233616612609,0.916990396936129,64
longdoc_qa,longdoc,0,12,3068,8,0.002607561929595828,oracle_mass_block,0.4738963690850257,0.9151004213759768,6080
longdoc_qa,longdoc,0,12,3068,8,0.002607561929595828,lowrank_k8,0.46339160676402164,0.9180327268402119,512
longdoc_qa,longdoc,0,12,3068,16,0.005215123859191656,sparse_renorm,0.3482971762570256,0.9388776164870752,0
longdoc_qa,longdoc,0,12,3068,16,0.005215123859191656,cheap_block_residual,0.35683670606594503,0.9606921140071855,12160
longdoc_qa,longdoc,0,12,3068,16,0.005215123859191656,oracle_mass_global,0.40671072720165496,0.9437549749176424,64
longdoc_qa,longdoc,0,12,3068,16,0.005215123859191656,oracle_mass_block,0.41382931747399776,0.9428140171468781,6080
longdoc_qa,longdoc,0,12,3068,16,0.005215123859191656,lowrank_k8,0.40805522689652945,0.9440551089544178,512
longdoc_qa,longdoc,0,12,3068,32,0.010430247718383311,sparse_renorm,0.251660030045995,0.9678965720145056,0
longdoc_qa,longdoc,0,12,3068,32,0.010430247718383311,cheap_block_residual,0.29106199899290075,0.9763917490357115,12160
longdoc_qa,longdoc,0,12,3068,32,0.010430247718383311,oracle_mass_global,0.3501474548107733,0.9633041144689469,64
longdoc_qa,longdoc,0,12,3068,32,0.010430247718383311,oracle_mass_block,0.35334163008016334,0.9628312355943554,6080
longdoc_qa,longdoc,0,12,3068,32,0.010430247718383311,lowrank_k8,0.3536070316892384,0.9627276884702991,512
longdoc_qa,longdoc,0,12,3068,64,0.020860495436766623,sparse_renorm,0.16741581365675912,0.9858956073947435,0
longdoc_qa,longdoc,0,12,3068,64,0.020860495436766623,cheap_block_residual,0.2055393936786006,0.9914228199263426,12160
longdoc_qa,longdoc,0,12,3068,64,0.020860495436766623,oracle_mass_global,0.26270642709010383,0.9848197198155713,64
longdoc_qa,longdoc,0,12,3068,64,0.020860495436766623,oracle_mass_block,0.2634605443876121,0.9847059988864243,6080
longdoc_qa,longdoc,0,12,3068,64,0.020860495436766623,lowrank_k8,0.26792675469352867,0.9843549578175859,512
longdoc_qa,longdoc,0,13,3068,8,0.002607561929595828,sparse_renorm,0.012280558294727635,0.9999850230427515,0
longdoc_qa,longdoc,0,13,3068,8,0.002607561929595828,cheap_block_residual,0.012022915226859823,0.99998537746514,12160
longdoc_qa,longdoc,0,13,3068,8,0.002607561929595828,oracle_mass_global,0.00214161568814442,0.9999977519274079,64
longdoc_qa,longdoc,0,13,3068,8,0.002607561929595828,oracle_mass_block,0.002021182044672012,0.9999980032006254,6080
longdoc_qa,longdoc,0,13,3068,8,0.002607561929595828,lowrank_k8,0.0022004938963040696,0.999997605662145,512
longdoc_qa,longdoc,0,13,3068,16,0.005215123859191656,sparse_renorm,0.007280994501224032,0.999995887283382,0
longdoc_qa,longdoc,0,13,3068,16,0.005215123859191656,cheap_block_residual,0.007045123964697382,0.9999960426217822,12160
longdoc_qa,longdoc,0,13,3068,16,0.005215123859191656,oracle_mass_global,0.0011364171317790647,0.999999355161734,64
longdoc_qa,longdoc,0,13,3068,16,0.005215123859191656,oracle_mass_block,0.0010774534223061771,0.999999420455564,6080
longdoc_qa,longdoc,0,13,3068,16,0.005215123859191656,lowrank_k8,0.0011519686739772036,0.9999993399166042,512
longdoc_qa,longdoc,0,13,3068,32,0.010430247718383311,sparse_renorm,0.0033988228180499122,0.9999990138084259,0
longdoc_qa,longdoc,0,13,3068,32,0.010430247718383311,cheap_block_residual,0.0032034634212293922,0.9999990800402855,12160
longdoc_qa,longdoc,0,13,3068,32,0.010430247718383311,oracle_mass_global,0.0003526813393784996,0.9999999379557178,64
longdoc_qa,longdoc,0,13,3068,32,0.010430247718383311,oracle_mass_block,0.0003491099734417774,0.9999999391673646,6080
longdoc_qa,longdoc,0,13,3068,32,0.010430247718383311,lowrank_k8,0.0003718835881108769,0.9999999308405981,512
longdoc_qa,longdoc,0,13,3068,64,0.020860495436766623,sparse_renorm,0.0014057467090020585,0.9999998136499433,0
longdoc_qa,longdoc,0,13,3068,64,0.020860495436766623,cheap_block_residual,0.0012340431641559937,0.9999998378394541,12160
longdoc_qa,longdoc,0,13,3068,64,0.020860495436766623,oracle_mass_global,0.000138736679126318,0.9999999903657396,64
longdoc_qa,longdoc,0,13,3068,64,0.020860495436766623,oracle_mass_block,0.00013947506446947673,0.9999999902631302,6080
longdoc_qa,longdoc,0,13,3068,64,0.020860495436766623,lowrank_k8,0.00016194571747282796,0.9999999868968293,512
longdoc_qa,longdoc,1,0,3068,8,0.002607561929595828,sparse_renorm,0.3946858159579012,0.9745238233306838,0
longdoc_qa,longdoc,1,0,3068,8,0.002607561929595828,cheap_block_residual,0.38096890480056633,0.9746098917112358,12160
longdoc_qa,longdoc,1,0,3068,8,0.002607561929595828,oracle_mass_global,0.28186818810083053,0.9640117668845997,64
longdoc_qa,longdoc,1,0,3068,8,0.002607561929595828,oracle_mass_block,0.2769439197882651,0.96601435743246,6080
longdoc_qa,longdoc,1,0,3068,8,0.002607561929595828,lowrank_k8,0.2859208789421374,0.9624433107526656,512
longdoc_qa,longdoc,1,0,3068,16,0.005215123859191656,sparse_renorm,0.295581608076212,0.9847599079328574,0
longdoc_qa,longdoc,1,0,3068,16,0.005215123859191656,cheap_block_residual,0.2849356125793806,0.9847355848224778,12160
longdoc_qa,longdoc,1,0,3068,16,0.005215123859191656,oracle_mass_global,0.22394715639510443,0.976860326216086,64
longdoc_qa,longdoc,1,0,3068,16,0.005215123859191656,oracle_mass_block,0.21966451075925963,0.9779759714939673,6080
longdoc_qa,longdoc,1,0,3068,16,0.005215123859191656,lowrank_k8,0.2269084181875505,0.9759346110715154,512
longdoc_qa,longdoc,1,0,3068,32,0.010430247718383311,sparse_renorm,0.20590203142888192,0.9916503299269647,0
longdoc_qa,longdoc,1,0,3068,32,0.010430247718383311,cheap_block_residual,0.19704667197861075,0.9916413920100495,12160
longdoc_qa,longdoc,1,0,3068,32,0.010430247718383311,oracle_mass_global,0.16141858429096043,0.9876527535874446,64
longdoc_qa,longdoc,1,0,3068,32,0.010430247718383311,oracle_mass_block,0.16140588109744308,0.9877297935261911,6080
longdoc_qa,longdoc,1,0,3068,32,0.010430247718383311,lowrank_k8,0.16463859257135213,0.9870214411422268,512
longdoc_qa,longdoc,1,0,3068,64,0.020860495436766623,sparse_renorm,0.12025839934329885,0.9973625865450135,0
longdoc_qa,longdoc,1,0,3068,64,0.020860495436766623,cheap_block_residual,0.1123987218798531,0.9973763172478811,12160
