dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
192,256,192,0.75,0.012252054399628955,0.9999999968567861,0.005392940678611025,0.01359727551676469,1.0,0.5B,longdoc,0
192,256,192,0.75,0.0009191417398161669,0.9999999643769094,0.1485004685775933,0.14855244801493322,1.0,0.5B,longdoc,0
192,256,192,0.75,0.00918275478783886,0.9999999853316686,0.03199411976739392,0.03495172385916771,1.0,0.5B,longdoc,0
192,256,192,0.75,0.008626479041708853,0.9999999858555375,0.00021984233411843812,0.008648420221905963,1.0,0.5B,longdoc,0
192,256,192,0.75,0.0039203552649847324,0.9999999135616184,0.0861004314246723,0.0871069226925339,1.0,0.5B,longdoc,0
256,256,256,1.0,4.756728860935962e-06,0.9999999991268851,0.005392940678611025,0.005393047690702669,1.0,0.5B,longdoc,0
256,256,256,1.0,1.6774851355476286e-06,0.9999999923165883,0.1485004685775933,0.14849942043691886,1.0,0.5B,longdoc,0
256,256,256,1.0,1.3337697409907573e-05,0.9999999891733744,0.03199411976739392,0.03198891713343305,1.0,0.5B,longdoc,0
256,256,256,1.0,4.103126657403868e-06,1.0,0.00021984233411843812,0.00021879365239944038,1.0,0.5B,longdoc,0
256,256,256,1.0,3.4607665643233966e-06,0.9999999956344252,0.0861004314246723,0.08610353547505052,1.0,0.5B,longdoc,0
32,256,32,0.125,0.927193878561977,0.9577105556204687,0.031738138073641155,0.9273277716623372,0.43902439024390244,0.5B,longdoc,1
32,256,32,0.125,0.6788753148026052,0.753822675610102,0.40085390721754277,0.8331853450676968,0.5853658536585366,0.5B,longdoc,1
32,256,32,0.125,0.8443739357968896,0.8797473162331881,0.15421367884755396,0.8649058507800658,0.4878048780487805,0.5B,longdoc,1
32,256,32,0.125,0.4019531650516782,0.9743146510269843,0.00013300498685399418,0.40196954336948576,0.6707317073170732,0.5B,longdoc,1
32,256,32,0.125,0.06370048374171196,0.7885941045545253,0.15128788772348278,0.1901407781972092,0.45121951219512196,0.5B,longdoc,1
64,256,64,0.25,0.6519836557522637,0.9932158186596933,0.031738138073641155,0.6574463409858599,0.7926829268292683,0.5B,longdoc,1
64,256,64,0.25,0.46214431815931617,0.9562558495210245,0.40085390721754277,0.6039816800962666,0.8414634146341463,0.5B,longdoc,1
64,256,64,0.25,0.7767490933420581,0.9755298023195075,0.15421367884755396,0.8868231780940489,0.8292682926829268,0.5B,longdoc,1
64,256,64,0.25,0.3849893411719193,0.9954142116070814,0.00013300498685399418,0.38506717992988315,0.8780487804878049,0.5B,longdoc,1
64,256,64,0.25,0.09388241724124939,0.9427103170505355,0.15128788772348278,0.29376638732545474,0.7317073170731707,0.5B,longdoc,1
128,256,128,0.5,0.26493612527253063,0.9998691935829152,0.031738138073641155,0.2671410010822766,0.9634146341463414,0.5B,longdoc,1
128,256,128,0.5,0.21237337496078648,0.9988973520155349,0.40085390721754277,0.4236597680309234,0.975609756097561,0.5B,longdoc,1
128,256,128,0.5,0.2497553714157388,0.9996702735464996,0.15421367884755396,0.3477786614059613,0.9634146341463414,0.5B,longdoc,1
128,256,128,0.5,0.1486597173360674,0.9999691566899661,0.00013300498685399418,0.14868676545319023,1.0,0.5B,longdoc,1
128,256,128,0.5,0.011252797782410385,0.9979808348540901,0.15128788772348278,0.15207307272425624,0.926829268292683,0.5B,longdoc,1
192,256,192,0.75,0.015149698047581397,0.9999997286358686,0.031738138073641155,0.035613321018615564,1.0,0.5B,longdoc,1
192,256,192,0.75,0.011917113108580348,0.9999994822428253,0.40085390721754277,0.40233144848357444,1.0,0.5B,longdoc,1
192,256,192,0.75,0.02107501964009375,0.9999996243859417,0.15421367884755396,0.1600931194111908,1.0,0.5B,longdoc,1
192,256,192,0.75,0.011988775338995165,0.9999998830025946,0.00013300498685399418,0.011981549191129339,1.0,0.5B,longdoc,1
192,256,192,0.75,0.0019529714938703788,0.9999958596888324,0.15128788772348278,0.1524015499192499,0.9878048780487805,0.5B,longdoc,1
256,256,256,1.0,4.1675923231004307e-07,0.999999999825377,0.031738138073641155,0.0317379203995425,1.0,0.5B,longdoc,1
256,256,256,1.0,2.561068447346575e-07,0.999999999650754,0.40085390721754277,0.40085372514578865,1.0,0.5B,longdoc,1
256,256,256,1.0,6.847229810338554e-07,0.999999999476131,0.15421367884755396,0.15421401187107392,1.0,0.5B,longdoc,1
256,256,256,1.0,7.617841354436738e-07,0.9999999979045241,0.00013300498685399418,0.00013339658753518848,1.0,0.5B,longdoc,1
256,256,256,1.0,2.911650564880509e-06,0.999999974679666,0.15128788772348278,0.15129157631535828,1.0,0.5B,longdoc,1
32,256,32,0.125,0.6779679542811694,0.9758444168991807,0.026977373721308,0.6875063244392094,0.7073170731707317,0.5B,longdoc,2
32,256,32,0.125,0.7263873303267334,0.9777948389098697,0.009299119821953942,0.7300968599414813,0.7926829268292683,0.5B,longdoc,2
32,256,32,0.125,0.851317352223808,0.9598448514519916,0.00869738472540721,0.8542968434923438,0.7073170731707317,0.5B,longdoc,2
32,256,32,0.125,1.2129611412288328,0.961846086483588,0.11088917650003978,1.261403195146244,0.6097560975609756,0.5B,longdoc,2
32,256,32,0.125,1.029759862325858,0.9740891547679956,0.13491581219342244,1.0844837557976255,0.6829268292682927,0.5B,longdoc,2
64,256,64,0.25,0.5954006886701827,0.9823677989738426,0.026977373721308,0.6087435866114111,0.7804878048780488,0.5B,longdoc,2
64,256,64,0.25,0.6151826161055602,0.9868425996116608,0.009299119821953942,0.6186275040594592,0.8170731707317073,0.5B,longdoc,2
64,256,64,0.25,0.4460459824991571,0.9872561115742579,0.00869738472540721,0.44635866030333526,0.8414634146341463,0.5B,longdoc,2
64,256,64,0.25,1.1147103773895568,0.9874612284568312,0.11088917650003978,1.1192231459768225,0.8292682926829268,0.5B,longdoc,2
64,256,64,0.25,0.8171849998532169,0.987444793289962,0.13491581219342244,0.8175908595835839,0.8170731707317073,0.5B,longdoc,2
128,256,128,0.5,0.13019508940094907,0.999912449095302,0.026977373721308,0.1310327618900496,1.0,0.5B,longdoc,2
128,256,128,0.5,0.17251644971233837,0.9999270463551683,0.009299119821953942,0.17367393733320563,0.9878048780487805,0.5B,longdoc,2
128,256,128,0.5,0.20713217790872707,0.9999106647975581,0.00869738472540721,0.2078667381095257,0.9878048780487805,0.5B,longdoc,2
128,256,128,0.5,0.27656621218626243,0.9999233555235851,0.11088917650003978,0.2800771740405731,0.9878048780487805,0.5B,longdoc,2
128,256,128,0.5,0.2880077113966638,0.9999207124299608,0.13491581219342244,0.3428403503586318,1.0,0.5B,longdoc,2
192,256,192,0.75,0.02099143682596376,0.999999846855635,0.026977373721308,0.03298167237867034,1.0,0.5B,longdoc,2
192,256,192,0.75,0.027001699546634613,0.9999998238053999,0.009299119821953942,0.027577530189870428,1.0,0.5B,longdoc,2
192,256,192,0.75,0.020529721375076547,0.9999998566345226,0.00869738472540721,0.02312904293952452,1.0,0.5B,longdoc,2
192,256,192,0.75,0.0261131223519824,0.999999667517821,0.11088917650003978,0.11632802132797933,0.9878048780487805,0.5B,longdoc,2
192,256,192,0.75,0.028057626790498204,0.9999997742124699,0.13491581219342244,0.13876212366617824,1.0,0.5B,longdoc,2
256,256,256,1.0,2.71503579175676e-06,0.999999999650754,0.026977373721308,0.026977572950104424,1.0,0.5B,longdoc,2
256,256,256,1.0,1.3096183265851392e-06,1.0,0.009299119821953942,0.009298638305000375,1.0,0.5B,longdoc,2
256,256,256,1.0,1.9144829306568463e-06,0.999999999476131,0.00869738472540721,0.008696221834200171,1.0,0.5B,longdoc,2
256,256,256,1.0,7.321421428578734e-06,0.999999998952262,0.11088917650003978,0.1108924710335451,1.0,0.5B,longdoc,2
256,256,256,1.0,1.3547945428323819e-05,0.9999999991268851,0.13491581219342244,0.13492610947531677,1.0,0.5B,longdoc,2
32,256,32,0.125,0.6801134303968001,0.8508439805163208,0.0002359521888637623,0.6819023164842463,0.36585365853658536,0.5B,longdoc,3
32,256,32,0.125,0.49452407135041965,0.9288351332144332,0.2347957178003993,0.5652494947838643,0.6951219512195121,0.5B,longdoc,3
32,256,32,0.125,0.4022858909547377,0.9698306667913336,0.0070675190468783575,0.40680801358910834,0.8292682926829268,0.5B,longdoc,3
32,256,32,0.125,0.8691408490493443,0.8110231700404388,0.5099550129656287,1.6066432559489625,0.573170731707317,0.5B,longdoc,3
32,256,32,0.125,0.9523112967451464,0.8466747662748071,0.03936776635965702,0.9655503086394003,0.5853658536585366,0.5B,longdoc,3
64,256,64,0.25,0.4561660510798383,0.9786241834000198,0.0002359521888637623,0.4561861172956106,0.8536585365853658,0.5B,longdoc,3
64,256,64,0.25,0.4876207908092433,0.9685167993745535,0.2347957178003993,0.5314221757171959,0.7682926829268293,0.5B,longdoc,3
64,256,64,0.25,0.3810001230742004,0.9895391945778471,0.0070675190468783575,0.3862399399151496,0.9024390243902439,0.5B,longdoc,3
64,256,64,0.25,0.5338996337534386,0.9481143053195584,0.5099550129656287,0.6297023430537897,0.7682926829268293,0.5B,longdoc,3
64,256,64,0.25,0.6135991630398965,0.9712462545463445,0.03936776635965702,0.5937843955119546,0.7439024390243902,0.5B,longdoc,3
128,256,128,0.5,0.12900550911100966,0.9989884461953868,0.0002359521888637623,0.1290305740544314,0.9878048780487805,0.5B,longdoc,3
128,256,128,0.5,0.39953338978271935,0.9980333935810599,0.2347957178003993,0.41801193098470507,0.8902439024390244,0.5B,longdoc,3
128,256,128,0.5,0.12891340240372745,0.9992400781031372,0.0070675190468783575,0.13029313601065054,0.9634146341463414,0.5B,longdoc,3
128,256,128,0.5,0.6523988442175541,0.9985781890307591,0.5099550129656287,1.1690468904640157,0.926829268292683,0.5B,longdoc,3
128,256,128,0.5,0.13786603462847244,0.9996433318380017,0.03936776635965702,0.1577030172086254,0.975609756097561,0.5B,longdoc,3
192,256,192,0.75,0.0249747432259652,0.9999948639885256,0.0002359521888637623,0.02492997463883326,1.0,0.5B,longdoc,3
192,256,192,0.75,0.045870343795752486,0.9999948627661646,0.2347957178003993,0.2535705727629975,1.0,0.5B,longdoc,3
192,256,192,0.75,0.019003925327445728,0.9999977388068617,0.0070675190468783575,0.020214790908424575,1.0,0.5B,longdoc,3
192,256,192,0.75,0.1462738417213502,0.9999942969876667,0.5099550129656287,0.5589621596343167,1.0,0.5B,longdoc,3
192,256,192,0.75,0.021122007610114447,0.999997580249184,0.03936776635965702,0.04737802119354174,0.9878048780487805,0.5B,longdoc,3
256,256,256,1.0,6.155910579229715e-07,0.999999998777639,0.0002359521888637623,0.00023563330567967093,1.0,0.5B,longdoc,3
256,256,256,1.0,5.625909754768493e-07,0.9999999993015081,0.2347957178003993,0.2347961840178053,1.0,0.5B,longdoc,3
256,256,256,1.0,8.79432840878941e-07,0.999999998428393,0.0070675190468783575,0.007067875925830364,1.0,0.5B,longdoc,3
256,256,256,1.0,2.2517440985223674e-06,0.999999999476131,0.5099550129656287,0.5099528424106875,1.0,0.5B,longdoc,3
256,256,256,1.0,8.805958635186288e-07,0.999999999476131,0.03936776635965702,0.039368478534242454,1.0,0.5B,longdoc,3
32,256,32,0.125,0.6286003348663359,0.979229026632996,0.0004507960919335289,0.6288840478366684,0.7439024390243902,0.5B,longdoc,4
32,256,32,0.125,1.3701833184443597,0.9586345667276646,0.11594092164193583,1.4627140045269587,0.8536585365853658,0.5B,longdoc,4
32,256,32,0.125,0.7008168327126741,0.972985067540821,0.0007489229900592468,0.7033637524416894,0.7804878048780488,0.5B,longdoc,4
32,256,32,0.125,0.5919924643388855,0.908487441966493,0.5113578722037407,0.8008931028490266,0.4024390243902439,0.5B,longdoc,4
32,256,32,0.125,0.7902233384708698,0.8980401219796089,0.0027596666344303204,0.7876784633783066,0.4268292682926829,0.5B,longdoc,4
64,256,64,0.25,0.32937428193255147,0.9918154325347279,0.0004507960919335289,0.3295590828524049,0.8658536585365854,0.5B,longdoc,4
64,256,64,0.25,1.1767419679625544,0.9896965192426715,0.11594092164193583,1.2175619883003022,0.9146341463414634,0.5B,longdoc,4
64,256,64,0.25,0.451846960858732,0.9906118760343269,0.0007489229900592468,0.4534088149012691,0.8902439024390244,0.5B,longdoc,4
64,256,64,0.25,0.514994882161952,0.9801027756548278,0.5113578722037407,0.7428908543548924,0.6463414634146342,0.5B,longdoc,4
64,256,64,0.25,0.5477274399569658,0.9823888232329717,0.0027596666344303204,0.5479448988648147,0.8048780487804879,0.5B,longdoc,4
128,256,128,0.5,0.1818989358423786,0.9995675033748338,0.0004507960919335289,0.1822011221036547,0.975609756097561,0.5B,longdoc,4
128,256,128,0.5,1.2719117046319364,0.9987832341432823,0.11594092164193583,1.3344012838583192,0.9390243902439024,0.5B,longdoc,4
