prompt,regime,layer,head,T,S,read_ratio,component_read_gain,rel_l2,cosine,js,topk_overlap,mass_retained,entropy,gini,pass_strict,pass_mod,pass_weak
short_qa,short,0,5,44,1,0.022727272727272728,44.0,0.007693081126979034,0.9999816443444544,0.0028304452745488385,1.0,0.9918570742387686,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,5,44,2,0.045454545454545456,22.0,0.007396157710377712,0.9999759807098615,0.001544766996032486,1.0,0.9955499029940825,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,5,44,4,0.09090909090909091,11.0,2.5598771202708474e-07,0.9999999999882384,8.649073434475294e-08,1.0,0.9999997503771016,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,5,44,8,0.18181818181818182,5.5,5.606292382051778e-11,0.999999999988257,1.534243281806314e-11,1.0,0.9999999999388943,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,5,44,16,0.36363636363636365,2.75,1.0891744984444942e-12,0.9999999999882571,3.115066827695436e-14,1.0,0.9999999999979823,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,5,44,32,0.7272727272727273,1.375,1.1929275190881581e-15,0.999999999988257,5.517345365168514e-17,1.0,0.9999999999989985,0.05560291162125228,0.9766401046785572,True,True,True
short_qa,short,0,6,44,1,0.022727272727272728,44.0,0.683639607429817,0.9622197700758055,0.3197508045698265,1.0,0.3311821152338915,2.2884531918464273,0.8201181757530782,False,False,False
short_qa,short,0,6,44,2,0.045454545454545456,22.0,0.3822250921700194,0.9844601638968253,0.19308589446296076,1.0,0.542328685182685,2.2884531918464273,0.8201181757530782,False,False,False
short_qa,short,0,6,44,4,0.09090909090909091,11.0,0.26306380617736824,0.9901874649597,0.12158182154402236,1.0,0.6903411650901362,2.2884531918464273,0.8201181757530782,False,False,False
short_qa,short,0,6,44,8,0.18181818181818182,5.5,0.07231406209492516,0.9990956719665083,0.0549481796604524,1.0,0.8502102247181376,2.2884531918464273,0.8201181757530782,False,True,True
short_qa,short,0,6,44,16,0.36363636363636365,2.75,0.023276944192019294,0.9999387867151155,0.01694543763316718,1.0,0.9519587946738478,2.2884531918464273,0.8201181757530782,True,True,True
short_qa,short,0,6,44,32,0.7272727272727273,1.375,0.0024680787093609375,0.9999992308444161,0.0004699472707678542,1.0,0.9986446814667913,2.2884531918464273,0.8201181757530782,True,True,True
short_qa,short,0,7,44,1,0.022727272727272728,44.0,5.44072000235222e-06,0.9999999999711768,6.674944769898032e-07,1.0,0.9999980739403543,2.746143518170536e-05,0.9772726379487242,True,True,True
