prompt,regime,layer,head,T,method,eff_bits,storage_ratio,rel_l2,cosine,js,topk_overlap
longdoc_qa,longdoc,13,11,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,3.8660708263088366,-0.27392616041062784,0.36513188273432007,0.125
longdoc_qa,longdoc,13,12,3068,uniform_8bit,8.0,0.5,0.017558931700350132,0.9998462305312336,4.248940493004741e-06,1.0
longdoc_qa,longdoc,13,12,3068,uniform_4bit,4.0,0.25,0.1747974188689525,0.9846220440683472,0.0017265336285065172,0.625
longdoc_qa,longdoc,13,12,3068,uniform_3bit,3.0,0.1875,0.26792718264064636,0.9648552583183498,0.011945138864169019,0.5
longdoc_qa,longdoc,13,12,3068,uniform_2bit,2.0,0.125,3.8936163900389364,-0.2805136314425611,0.6773737309593924,0.5
longdoc_qa,longdoc,13,12,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.017643774466661336,0.9998446845537088,3.872225244074917e-06,1.0
longdoc_qa,longdoc,13,12,3068,adapt_imp_h8l4f25,5.0,0.3125,0.017644105676547252,0.9998446762167147,3.529741060359927e-06,1.0
longdoc_qa,longdoc,13,12,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,0.21672022546935615,0.9837996281073241,0.013993780974910363,0.375
longdoc_qa,longdoc,13,12,3068,adapt_imp_h8l2f25,3.5,0.21875,0.1665812142537723,0.9894532294660225,0.00904696496075557,0.375
longdoc_qa,longdoc,13,12,3068,adapt_imp_h4l2f25,2.5,0.15625,0.28420262173555916,0.9638872341744096,0.012188556173418973,0.5
longdoc_qa,longdoc,13,12,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.017643774466661336,0.9998446845537088,3.872225244074917e-06,1.0
longdoc_qa,longdoc,13,12,3068,adapt_margin_h8l4f25,5.0,0.3125,0.017644105676547252,0.9998446762167147,3.529741060359927e-06,1.0
longdoc_qa,longdoc,13,12,3068,adapt_margin_h8l2f25,3.5,0.21875,0.1665812142537723,0.9894532294660225,0.00904696496075557,0.375
longdoc_qa,longdoc,13,12,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,0.7288124887674107,0.6913243043273037,0.05229875837020122,0.375
longdoc_qa,longdoc,13,12,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,0.7288126985915436,0.6913240467101106,0.0522987254599381,0.375
longdoc_qa,longdoc,13,12,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.17337826595150937,0.9848609264141982,0.00017391603852162554,1.0
longdoc_qa,longdoc,13,12,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.17337815943607834,0.9848609444902056,0.0001738853656777146,1.0
longdoc_qa,longdoc,13,12,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,0.4001386298495466,0.9471403459540794,0.033251370311087575,0.375
longdoc_qa,longdoc,13,12,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.017609420241186714,0.9998454196710631,2.14107383932983e-05,1.0
