prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,1,11,44,2.691043985876657,0.7240763127821237,0.042272410849242145,0.039540531272734825,0.89338349095012,0.04439141311252189,0.4204474429324926,0.22685045410452398
short_qa,short,1,12,44,2.8195297514704074,0.6618384541000846,0.042272410849242145,0.06838733255065677,0.8307644444073166,0.07186661965438138,0.16228916115251643,0.18723744263328151
short_qa,short,1,13,44,2.1275242815782023,0.7813920968256421,0.042272410849242145,0.09403629331444563,0.9003985049926485,0.061993965573949615,0.10284403739669375,0.4734572558949247
short_qa,short,2,0,44,1.9582467910927108,0.8711067513674133,0.20694485644783683,0.32257399913764395,0.9764558194403061,0.035819809117304494,0.0601453798039116,0.26437204570679235
short_qa,short,2,1,44,2.7637724254861125,0.6982844426000214,0.20694485644783683,0.03217206658014149,0.8538303249856928,0.27891507217170947,0.3647416129201043,0.5029785390352587
short_qa,short,2,2,44,2.386915573372233,0.809275892273375,0.20694485644783683,0.4250006935930273,0.9595444670552385,0.06430349925851621,0.22579222744206068,0.4855833935725693
short_qa,short,2,3,44,1.111756215579722,0.943750510559937,0.20694485644783683,0.44648962388564684,0.9990302424837313,0.0010731675784266877,0.006177952572778847,0.37832043638401436
short_qa,short,2,4,44,1.7659566216500755,0.8931815109139254,0.20694485644783683,0.21025184081561932,0.9879092610943345,0.017784235048807866,0.06415145104935116,0.3877779709324376
short_qa,short,2,5,44,3.160702019665152,0.568485358118677,0.20694485644783683,0.018178582043400837,0.775033164170986,0.5106718318533605,0.5825740723326694,0.24466155469643674
short_qa,short,2,6,44,1.328252063894718,0.9270686571778651,0.20694485644783683,0.09892417375601781,0.9907320085045322,0.01293594687907288,0.04041302760454843,0.22248223321800778
short_qa,short,2,7,44,2.4009754658330937,0.8117121826919476,0.20705139725565083,0.18425371700355697,0.9781028933971364,0.07141046425480119,0.07838146945433402,0.23170638789883571
short_qa,short,2,8,44,2.037676564690379,0.866517116681539,0.20705139725565083,0.08212058179321247,0.9934883583577853,0.015917443186126277,0.01767075173624967,0.5468118155750323
short_qa,short,2,9,44,2.1040935193720918,0.8582741129792212,0.20705139725565083,0.022962781155932532,0.995181533919882,0.008665911313867656,0.015820367736319542,0.9897014573549935
short_qa,short,2,10,44,2.315046910553129,0.8239158956548575,0.20705139725565083,0.4363280706253079,0.9701174496477672,0.06486495218043174,0.1104170988272497,0.6554446190117956
short_qa,short,2,11,44,2.469760844122961,0.7878434143943465,0.20705139725565083,0.056511774708965845,0.9827273745089418,0.049727700528125016,0.06160443963649471,0.29352986569992895
short_qa,short,2,12,44,2.211719862761484,0.8437512854729884,0.20705139725565083,0.008399244625678648,0.9942387585204239,0.01695932437164506,0.029634194062568463,0.4454361688449596
short_qa,short,2,13,44,2.326611760169267,0.81866916567934,0.20705139725565083,0.015518429443218906,0.9594546686482691,0.12900044152696052,0.13003581691720173,0.22610151421551444
short_qa,short,3,0,44,1.566264570737162,0.9154556307228089,0.08752490936291162,0.36564603702070464,0.9991676322969306,0.0013371721575183258,0.007689963982679949,0.759538353871884
short_qa,short,3,1,44,2.0678186676442385,0.8632296904740215,0.08752490936291162,0.05510910243218303,0.9861040409447351,0.013996240108136144,0.033207890212382324,0.3042740220898717
short_qa,short,3,2,44,2.6593969707203624,0.7429110263513755,0.08752490936291162,0.10793131161083735,0.9020791920584703,0.09199275086463571,0.21113948245687425,0.2069994514597434
short_qa,short,3,3,44,2.8071953442529094,0.6691086176067261,0.08752490936291162,0.13478025906291435,0.8422427344013821,0.24275350594382197,0.32099239881015507,0.3595122886374045
short_qa,short,3,4,44,1.5601567856244045,0.9164758229957299,0.08752490936291162,0.13580358871683984,0.9980179384110373,0.0031681676559142734,0.011124497538862844,0.7892264678205145
short_qa,short,3,5,44,0.37000023968275386,0.9695246593744808,0.08752490936291162,0.5374156624005604,0.9999942289414195,5.144908353242015e-05,0.0008686886328662486,0.6335497034658617
short_qa,short,3,6,44,2.599484410435486,0.7347002395156643,0.08752490936291162,0.06320585396271561,0.8919463424499126,0.1682363302637037,0.8508738587230856,0.3931584133624933
short_qa,short,3,7,44,1.3605730178083317,0.9324914245780072,0.24439732761373023,0.6499742566053079,0.9991452058654982,0.0016872972927865623,0.00919153537724847,0.21752366836630985
