dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,regime,layer,T
768,1536,768,0.5,0.0004200498869849295,0.9999997206029609,0.010159740845046363,0.010083542777329587,1.0,doc,4,1024
768,1536,768,0.5,0.00017201605429736396,0.9999997876582503,0.030824778088485102,0.030748958550470003,1.0,doc,4,1024
768,1536,768,0.5,0.00043225010858773783,0.9999997317788425,0.018586833330563206,0.01866439897935766,1.0,doc,4,1024
1536,1536,1536,1.0,2.3180402451191524e-06,0.9999999999999998,0.0022093206078577484,0.0022075018070140035,1.0,doc,4,1024
1536,1536,1536,1.0,3.480858302323476e-06,0.9999999999999998,0.010159740845046363,0.01016191904366178,1.0,doc,4,1024
1536,1536,1536,1.0,1.0476210267545966e-06,0.9999999999999998,0.030824778088485102,0.030825174205721173,1.0,doc,4,1024
1536,1536,1536,1.0,7.956665483750539e-07,0.9999999999999998,0.018586833330563206,0.018586619620273137,1.0,doc,4,1024
64,1536,64,0.041666666666666664,0.00392336742398548,0.9991845406265645,0.3264171556490007,0.3266168737315835,0.95,doc,5,1024
64,1536,64,0.041666666666666664,0.04226351458478726,0.9999807998354908,0.015095201420545054,0.04350738545001342,1.0,doc,5,1024
64,1536,64,0.041666666666666664,0.17080007463531827,0.9999478645125526,0.007158060556574548,0.17619794253498033,0.95,doc,5,1024
64,1536,64,0.041666666666666664,0.008809863473361334,0.9996720325799298,0.264939288673372,0.26433607527970626,0.95,doc,5,1024
128,1536,128,0.08333333333333333,0.0018029764601443627,0.9997992252878906,0.3264171556490007,0.3266003025291192,0.95,doc,5,1024
128,1536,128,0.08333333333333333,0.011326643776289684,0.9999932721193046,0.015095201420545054,0.01816925541280439,1.0,doc,5,1024
128,1536,128,0.08333333333333333,0.020072794315826543,0.9999888464702094,0.007158060556574548,0.024162516433108894,1.0,doc,5,1024
128,1536,128,0.08333333333333333,0.0009197386679002864,0.9999486244724982,0.264939288673372,0.2644769347777566,1.0,doc,5,1024
256,1536,256,0.16666666666666666,0.0001923427253122654,0.999976664759316,0.3264171556490007,0.32641771440437345,1.0,doc,5,1024
256,1536,256,0.16666666666666666,0.003845141094679259,0.9999965131249551,0.015095201420545054,0.015849070807434338,1.0,doc,5,1024
256,1536,256,0.16666666666666666,0.0061162938803867245,0.9999953173056289,0.007158060556574548,0.011460004229295793,1.0,doc,5,1024
256,1536,256,0.16666666666666666,0.0001873484235880658,0.999978441724483,0.264939288673372,0.26485187576167457,1.0,doc,5,1024
384,1536,384,0.25,6.290577172850667e-05,0.9999885670731705,0.3264171556490007,0.3264223769552628,1.0,doc,5,1024
384,1536,384,0.25,0.0017101206296189914,0.9999977983513337,0.015095201420545054,0.015640455329299335,1.0,doc,5,1024
384,1536,384,0.25,0.0038143264069224227,0.9999963007832056,0.007158060556574548,0.010059794263616063,1.0,doc,5,1024
384,1536,384,0.25,6.930544200660212e-05,0.9999874159573705,0.264939288673372,0.2647868231233794,1.0,doc,5,1024
512,1536,512,0.3333333333333333,2.9359209981613465e-05,0.9999949708533007,0.3264171556490007,0.3264269601779725,1.0,doc,5,1024
512,1536,512,0.3333333333333333,0.0011377931380078688,0.9999990165224231,0.015095201420545054,0.015165331321932426,1.0,doc,5,1024
512,1536,512,0.3333333333333333,0.002505105664978097,0.9999982453865959,0.007158060556574548,0.007595527356774695,1.0,doc,5,1024
512,1536,512,0.3333333333333333,3.4856562491633024e-05,0.9999928474358055,0.264939288673372,0.2649033560669035,1.0,doc,5,1024
768,1536,768,0.5,9.71445000156966e-06,0.999998591838924,0.3264171556490007,0.32640650270403837,1.0,doc,5,1024
768,1536,768,0.5,0.00024024030744706812,0.9999997206029609,0.015095201420545054,0.015154437308782178,1.0,doc,5,1024
768,1536,768,0.5,0.00054785937812141,0.9999996870753163,0.007158060556574548,0.006832768397927319,1.0,doc,5,1024
768,1536,768,0.5,1.0466445051197107e-05,0.999998793004792,0.264939288673372,0.26493605142827936,1.0,doc,5,1024
1536,1536,1536,1.0,1.946147992626781e-07,0.9999999999999998,0.3264171556490007,0.3264171223532209,1.0,doc,5,1024
1536,1536,1536,1.0,6.740488005141121e-07,0.9999999999999998,0.015095201420545054,0.01509525099304499,1.0,doc,5,1024
1536,1536,1536,1.0,2.2146746859834134e-06,0.9999999999999998,0.007158060556574548,0.007159138182495777,1.0,doc,5,1024
1536,1536,1536,1.0,1.2031786736108678e-07,0.9999999999999998,0.264939288673372,0.2649394077657883,1.0,doc,5,1024
64,1536,64,0.041666666666666664,0.08514384201817234,0.999977491774551,0.009784192014067987,0.08951708821158681,1.0,doc,6,1024
64,1536,64,0.041666666666666664,0.17949596225294814,0.9999086930477075,0.10341688263374428,0.15029062835525095,1.0,doc,6,1024
64,1536,64,0.041666666666666664,0.01512475901304926,0.9995611119555109,0.2966781745495532,0.32371549504763686,0.95,doc,6,1024
64,1536,64,0.041666666666666664,0.06853976266419316,0.9990339120949859,0.06499024684278336,0.09497549901953684,1.0,doc,6,1024
128,1536,128,0.08333333333333333,0.025254241824896117,0.9999927468528715,0.009784192014067987,0.031134081040129474,1.0,doc,6,1024
128,1536,128,0.08333333333333333,0.01221589849928799,0.9999752230705956,0.10341688263374428,0.0977089643297223,1.0,doc,6,1024
