prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,1,44,jl,64,16,16,0.36363636363636365,0.41855313463526866,0.9471524680032198,0.0003865988962596596,0.4375,False
short_qa,short,0,1,44,jl,128,16,16,0.36363636363636365,9.171012854685971e-05,0.999999997829617,0.999865700850693,0.5,True
short_qa,short,0,1,44,block_centroid,32,16,44,1.0,0.0,0.9999999999949616,0.9999999999989999,1.0,True
short_qa,short,0,1,44,block_upperbound,32,16,32,0.7272727272727273,0.6586210928379663,0.8591393140528056,0.0007154612924398492,0.6875,False
short_qa,short,0,1,44,recency_router,64,16,16,0.36363636363636365,0.00047153598074099816,0.9999999867434398,0.9992845554497313,0.3125,True
short_qa,short,0,1,44,sink_recent_router,64,16,20,0.45454545454545453,0.00046156719013833056,0.9999999869866313,0.9994585490201033,0.5,True
short_qa,short,0,1,44,jl,8,32,32,0.7272727272727273,4.879129145183245e-05,0.9999999996178495,0.9999410395922682,0.84375,True
short_qa,short,0,1,44,jl,16,32,32,0.7272727272727273,1.727115167976797e-05,0.9999999999745826,0.9999862859087115,0.84375,True
short_qa,short,0,1,44,jl,32,32,32,0.7272727272727273,0.6512797281399825,0.8665812131115224,0.000658946007423737,0.625,False
short_qa,short,0,1,44,jl,64,32,32,0.7272727272727273,2.442426435352787e-06,0.9999999999945779,0.9999972972111709,0.71875,True
short_qa,short,0,1,44,jl,128,32,32,0.7272727272727273,4.985787500358485e-05,0.9999999996142903,0.9999398479103228,0.75,True
short_qa,short,0,1,44,block_centroid,32,32,44,1.0,0.0,0.9999999999949616,0.9999999999989999,1.0,True
short_qa,short,0,1,44,block_upperbound,32,32,32,0.7272727272727273,0.6586210928379663,0.8591393140528056,0.0007154612924398492,0.625,False
short_qa,short,0,1,44,recency_router,64,32,32,0.7272727272727273,0.00042799857662584117,0.9999999891973028,0.9993433860524432,0.71875,True
short_qa,short,0,1,44,sink_recent_router,64,32,36,0.8181818181818182,0.0004180174363033257,0.9999999894233103,0.9995173796228154,0.84375,True
short_qa,short,0,2,44,jl,8,8,8,0.18181818181818182,1.2037524077031687,-0.1911445139919978,0.027166883978139655,0.0,False
short_qa,short,0,2,44,jl,16,8,8,0.18181818181818182,0.20234649787232767,0.9972278281530346,0.31512517893691916,0.375,False
short_qa,short,0,2,44,jl,32,8,8,0.18181818181818182,0.3360355108494403,0.9940804144052661,0.2630326461877382,0.125,False
short_qa,short,0,2,44,jl,64,8,8,0.18181818181818182,1.1994382649783084,-0.21160401327880587,0.05132638270124416,0.0,False
short_qa,short,0,2,44,jl,128,8,8,0.18181818181818182,0.07995353786137094,0.9979848794569867,0.3539809056400394,0.375,True
short_qa,short,0,2,44,block_centroid,32,8,12,0.2727272727272727,0.21452356743347595,0.9918392774025521,0.14695052031405892,0.25,False
short_qa,short,0,2,44,block_upperbound,32,8,32,0.7272727272727273,0.03695489019649806,0.9998481014650565,0.8530494796849408,0.75,True
short_qa,short,0,2,44,recency_router,64,8,8,0.18181818181818182,0.120937613564005,0.9971477392403827,0.10101841903538523,0.25,False
short_qa,short,0,2,44,sink_recent_router,64,8,12,0.2727272727272727,0.27346711863433815,0.9954556239564298,0.1988388666905366,0.375,False
short_qa,short,0,2,44,jl,8,16,16,0.36363636363636365,0.6168442532446895,0.8625065341297042,0.12867528386679886,0.1875,False
short_qa,short,0,2,44,jl,16,16,16,0.36363636363636365,0.29305428954015883,0.9959359408782491,0.7008636618700309,0.5,False
short_qa,short,0,2,44,jl,32,16,16,0.36363636363636365,0.3050068273788421,0.9955635314288037,0.5575717045255223,0.25,False
short_qa,short,0,2,44,jl,64,16,16,0.36363636363636365,0.7389294533599526,0.737081129445565,0.21314402532519874,0.375,False
short_qa,short,0,2,44,jl,128,16,16,0.36363636363636365,0.04521641178956062,0.9994866970656967,0.5383700573482941,0.5625,True
short_qa,short,0,2,44,block_centroid,32,16,44,1.0,0.0,0.9999999999926851,0.9999999999989999,1.0,True
short_qa,short,0,2,44,block_upperbound,32,16,32,0.7272727272727273,0.03695489019649806,0.9998481014650565,0.8530494796849408,0.75,True
short_qa,short,0,2,44,recency_router,64,16,16,0.36363636363636365,0.4956765086194105,0.9359887948579603,0.19945293766302657,0.375,False
short_qa,short,0,2,44,sink_recent_router,64,16,20,0.45454545454545453,0.19295351487230739,0.9935012709566894,0.297273385318178,0.4375,False
short_qa,short,0,2,44,jl,8,32,32,0.7272727272727273,0.34884436161929794,0.9793086085682705,0.42382504056409054,0.75,False
short_qa,short,0,2,44,jl,16,32,32,0.7272727272727273,0.061084766467016265,0.9997207010872728,0.8805466339793943,0.6875,True
short_qa,short,0,2,44,jl,32,32,32,0.7272727272727273,0.04616137908445031,0.9994546467714833,0.895818069483892,0.6875,True
short_qa,short,0,2,44,jl,64,32,32,0.7272727272727273,0.03937232620764874,0.999347196163944,0.9041974284695092,0.75,True
short_qa,short,0,2,44,jl,128,32,32,0.7272727272727273,0.019751894860113535,0.9998391906518295,0.8824114283572214,0.8125,True
short_qa,short,0,2,44,block_centroid,32,32,44,1.0,0.0,0.9999999999926851,0.9999999999989999,1.0,True
short_qa,short,0,2,44,block_upperbound,32,32,32,0.7272727272727273,0.03695489019649806,0.9998481014650565,0.8530494796849408,0.6875,True
short_qa,short,0,2,44,recency_router,64,32,32,0.7272727272727273,0.01755373933138129,0.9998461007032835,0.8422918537839651,0.78125,True
short_qa,short,0,2,44,sink_recent_router,64,32,36,0.8181818181818182,0.0499290573481902,0.9996963154798896,0.9401123014391165,0.8125,True
short_qa,short,0,3,44,jl,8,8,8,0.18181818181818182,1.0801085420841656,0.23212115449725865,0.11401319266641378,0.0,False
short_qa,short,0,3,44,jl,16,8,8,0.18181818181818182,0.49120637772899955,0.8716114798394565,0.2315104742157758,0.375,False
short_qa,short,0,3,44,jl,32,8,8,0.18181818181818182,0.498300635047523,0.8712116251990888,0.205402863064841,0.125,False
