n,coverage,fail_rate_routed,fail_rate_overall,avg_read_fraction,kv_read_reduction,split,features,model,policy
2352,0.015731292517006803,0.32432432432432434,0.00510204081632653,0.9865964720774112,1.0135856232025298,random,entropy_only,tree,selective@95prec
2352,0.01913265306122449,0.28888888888888886,0.0055272108843537416,0.9836051618857015,1.0166681090640755,random,mass_only,tree,selective@95prec
2352,0.00510204081632653,0.6666666666666666,0.003401360544217687,0.9956597117948076,1.0043592084261082,random,cent_entropy_only,tree,selective@95prec
2352,0.17687074829931973,0.04807692307692308,0.008503401360544218,0.8424667946594376,1.186990402873082,loro_regime,cheap,logreg,selective@95prec
2352,0.08460884353741496,0.3065326633165829,0.025935374149659865,0.9274466471350469,1.0782291392060945,loro_regime,cheap,tree,selective@95prec
2352,0.29846938775510207,0.04985754985754986,0.01488095238095238,0.7337816210226267,1.3628032800908274,loro_regime,cheap,rforest,selective@95prec
2352,0.32482993197278914,0.049738219895287955,0.016156462585034014,0.7105549879675884,1.4073506159745859,loro_regime,cheap,gboost,selective@95prec
2352,0.24064625850340135,0.04946996466431095,0.011904761904761904,0.7852517372662404,1.273476966101826,loro_regime,cheap,mlp,selective@95prec
2352,0.366921768707483,0.04982618771726535,0.018282312925170068,0.6730303350081309,1.4858171288637665,loro_regime,all,logreg,selective@95prec
2352,0.18239795918367346,0.13986013986013987,0.025510204081632654,0.8405300214453076,1.189725499965463,loro_regime,all,tree,selective@95prec
2352,0.42517006802721086,0.05,0.021258503401360544,0.6211288904272684,1.6099718036172974,loro_regime,all,rforest,selective@95prec
2352,0.44260204081632654,0.049951969260326606,0.022108843537414966,0.6068942176312315,1.647733609825942,loro_regime,all,gboost,selective@95prec
2352,0.4013605442176871,0.04978813559322034,0.019982993197278913,0.6430354830337935,1.5551241360462325,loro_regime,all,mlp,selective@95prec
2352,0.18877551020408162,0.04954954954954955,0.00935374149659864,0.8318338890311251,1.2021630919182023,loro_regime,cheap_id,logreg,selective@95prec
2352,0.08120748299319729,0.3089005235602094,0.025085034013605442,0.9301862509088096,1.0750535164575707,loro_regime,cheap_id,tree,selective@95prec
2352,0.28741496598639454,0.04881656804733728,0.01403061224489796,0.7436707479031585,1.3446811009033006,loro_regime,cheap_id,rforest,selective@95prec
2352,0.32950680272108845,0.05032258064516129,0.016581632653061226,0.7063369143360095,1.4157549742958682,loro_regime,cheap_id,gboost,selective@95prec
2352,0.2227891156462585,0.04961832061068702,0.011054421768707483,0.8014788352446004,1.2476935834429286,loro_regime,cheap_id,mlp,selective@95prec
2352,0.017431972789115645,0.4146341463414634,0.007227891156462585,0.985711052980135,1.014496080749693,loro_regime,entropy_only,tree,selective@95prec
2352,0.02465986394557823,0.39655172413793105,0.00977891156462585,0.9787706341092882,1.0216898271677626,loro_regime,mass_only,tree,selective@95prec
2352,0.015306122448979591,0.8333333333333334,0.012755102040816327,0.9874021869033504,1.0127585428346664,loro_regime,cent_entropy_only,tree,selective@95prec
2352,0.0,0.0,0.0,1.0,1.0,lolo_layer,cheap,logreg,selective@95prec
2352,0.08290816326530612,0.38974358974358975,0.03231292517006803,0.9299438625566877,1.0753337274044774,lolo_layer,cheap,tree,selective@95prec
2352,0.2576530612244898,0.04950495049504951,0.012755102040816327,0.7700600378902088,1.2986000451857949,lolo_layer,cheap,rforest,selective@95prec
2352,0.21258503401360543,0.05,0.010629251700680272,0.8102743561802076,1.2341498806826323,lolo_layer,cheap,gboost,selective@95prec
2352,0.1836734693877551,0.04861111111111111,0.008928571428571428,0.8359944040550296,1.1961802556924468,lolo_layer,cheap,mlp,selective@95prec
2352,0.3826530612244898,0.05,0.01913265306122449,0.6596109690622527,1.516045134030544,lolo_layer,all,logreg,selective@95prec
