regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
agent,maxsketch,64,0.05,0.5845493969757055,1.7176950699807727,0.046875,0.08333333333333333,0.258701054890952,0.15042102206736352,0.9365853658536585,336,0.5B,8192
agent,maxsketch,64,0.1,0.397756072164019,1.5247125543117406,0.1015625,0.15476190476190477,0.41489278248695804,0.22972198025551685,1.0146341463414634,336,0.5B,8192
agent,maxsketch,64,0.15,0.3172785699772324,1.3194550241570333,0.1484375,0.23214285714285715,0.4977509192957352,0.2784760161184083,0.9894222945484134,336,0.5B,8192
agent,maxsketch,128,0.0025,0.7652491092638671,1.9623626566626966,0.015625,0.050595238095238096,0.12501656707473016,0.13619614512471653,6.095238095238095,336,0.5B,8192
agent,maxsketch,128,0.005,0.7652491092638671,1.9623626566626966,0.015625,0.050595238095238096,0.12501656707473016,0.12674216027874566,3.1219512195121952,336,0.5B,8192
agent,maxsketch,128,0.01,0.7652491092638671,1.9623626566626966,0.015625,0.050595238095238096,0.12501656707473016,0.10852206736353077,1.5609756097560976,336,0.5B,8192
agent,maxsketch,128,0.02,0.7652491092638671,1.9623626566626966,0.015625,0.050595238095238096,0.12501656707473016,0.08803353658536585,0.7804878048780488,336,0.5B,8192
agent,maxsketch,128,0.05,0.5864310595727019,1.732813590507452,0.046875,0.08035714285714286,0.2648453718225382,0.15398519163763066,0.9365853658536585,336,0.5B,8192
agent,maxsketch,128,0.1,0.45763371611945436,1.5820400605747365,0.09375,0.13988095238095238,0.37948382760353094,0.21604965156794426,0.9365853658536585,336,0.5B,8192
agent,maxsketch,128,0.15,0.31514172116161854,1.3508021457843893,0.15625,0.2261904761904762,0.4933996553091372,0.2879591421597117,1.0414971521562246,336,0.5B,8192
agent,maxsketch,256,0.0025,0.7202233716112759,1.901269093070405,0.03125,0.05654761904761905,0.16781919786298516,0.2002551020408163,12.19047619047619,336,0.5B,8192
agent,maxsketch,256,0.005,0.7202233716112759,1.901269093070405,0.03125,0.05654761904761905,0.16781919786298516,0.18975029036004645,6.2439024390243905,336,0.5B,8192
agent,maxsketch,256,0.01,0.7202233716112759,1.901269093070405,0.03125,0.05654761904761905,0.16781919786298516,0.16895325203252032,3.1219512195121952,336,0.5B,8192
agent,maxsketch,256,0.02,0.7202233716112759,1.901269093070405,0.03125,0.05654761904761905,0.16781919786298516,0.1445448606271777,1.5609756097560976,336,0.5B,8192
agent,maxsketch,256,0.05,0.6299648265002982,1.8001032148013953,0.0625,0.09226190476190477,0.274263020203239,0.18981562137049943,1.248780487804878,336,0.5B,8192
agent,maxsketch,256,0.1,0.5260864698968164,1.6530144657215537,0.09375,0.12797619047619047,0.3580240811173461,0.21324767711962836,0.9365853658536585,336,0.5B,8192
agent,maxsketch,256,0.15,0.3960508461945186,1.4004449412136604,0.15625,0.20833333333333334,0.45690724241748043,0.2820648804680538,1.0414971521562246,336,0.5B,8192
agent,recent_sink_routed,16,0.0025,0.3304921086466376,1.1274647623755998,0.009765625,0.2767857142857143,0.5964657301276965,0.5151643990929705,3.8095238095238093,336,0.5B,8192
agent,recent_sink_routed,16,0.005,0.3304921086466376,1.1274647623755998,0.009765625,0.2767857142857143,0.5964657301276965,0.43082171893147503,1.951219512195122,336,0.5B,8192
agent,recent_sink_routed,16,0.01,0.3304921086466376,1.1274647623755998,0.009765625,0.2767857142857143,0.5964657301276965,0.32309814169570267,0.975609756097561,336,0.5B,8192
agent,recent_sink_routed,16,0.02,0.12661522681086168,0.7316724167862967,0.01953125,0.4494047619047619,0.727823445603388,0.43650188734030193,0.975609756097561,336,0.5B,8192
agent,recent_sink_routed,16,0.05,0.062433375066717464,0.44928015185908665,0.05078125,0.5863095238095238,0.8164138233814623,0.5147575493612079,1.0146341463414634,336,0.5B,8192
agent,recent_sink_routed,16,0.1,0.03389772548508323,0.30903943306457443,0.099609375,0.6964285714285714,0.8709876493703852,0.5614147793263646,0.9951219512195122,336,0.5B,8192
agent,recent_sink_routed,16,0.15,0.021063067114579698,0.23785444709400871,0.150390625,0.7678571428571429,0.9015305709261314,0.6027645395017243,1.0024410089503661,336,0.5B,8192
agent,recent_sink_routed,32,0.0025,0.32514482914116016,1.0726205643313191,0.01171875,0.2857142857142857,0.6128239712130259,0.5419501133786848,4.571428571428571,336,0.5B,8192
agent,recent_sink_routed,32,0.005,0.32514482914116016,1.0726205643313191,0.01171875,0.2857142857142857,0.6128239712130259,0.45150987224157957,2.341463414634146,336,0.5B,8192
agent,recent_sink_routed,32,0.01,0.32514482914116016,1.0726205643313191,0.01171875,0.2857142857142857,0.6128239712130259,0.3389590592334495,1.170731707317073,336,0.5B,8192
agent,recent_sink_routed,32,0.02,0.13938067737048682,0.7779635978978992,0.01953125,0.43154761904761907,0.7090502287096389,0.390262049941928,0.975609756097561,336,0.5B,8192
agent,recent_sink_routed,32,0.05,0.06989041155029024,0.4901181444075303,0.05078125,0.5625,0.7993823749647025,0.47693815331010453,1.0146341463414634,336,0.5B,8192
agent,recent_sink_routed,32,0.1,0.03938695050071622,0.318162341951334,0.1015625,0.6726190476190477,0.856796208604448,0.5331010452961673,1.0146341463414634,336,0.5B,8192
agent,recent_sink_routed,32,0.15,0.02769929528312752,0.24740715436023553,0.1484375,0.75,0.886171653656298,0.5637277693827735,0.9894222945484134,336,0.5B,8192
agent,recent_sink_routed,64,0.0025,0.31249457864680025,1.0598860490811532,0.015625,0.2857142857142857,0.6179699547799126,0.5547052154195011,6.095238095238095,336,0.5B,8192
